Year,Round,Winner,Loser,Winner_Code,Loser_Code,Tm_Win,Total_Bench_PTS_Win,Team_Games_Played_Win,Winner_Bench_PPG,Tm_Lose,Total_Bench_PTS_Lose,Team_Games_Played_Lose,Loser_Bench_PPG,Bench_Differential
2024.0,Eastern Conf First Round,Boston Celtics,Miami Heat,BOS,MIA,BOS,21.9,19,1.1526315789473685,MIA,29.2,5,5.84,-4.687368421052631
2024.0,Eastern Conf First Round,Cleveland Cavaliers,Orlando Magic,CLE,ORL,CLE,27.5,12,2.2916666666666665,ORL,35.2,7,5.028571428571429,-2.736904761904763
2024.0,Eastern Conf First Round,Indiana Pacers,Milwaukee Bucks,IND,MIL,IND,37.4,17,2.1999999999999997,MIL,26.3,6,4.383333333333334,-2.183333333333334
2024.0,Eastern Conf First Round,New York Knicks,Philadelphia 76ers,NYK,PHI,NYK,45.0,13,3.4615384615384617,PHI,18.9,6,3.15,0.31153846153846176
2024.0,Western Conf First Round,Oklahoma City Thunder,New Orleans Pelicans,OKC,NOP,OKC,22.3,10,2.23,NOP,20.4,4,5.1,-2.8699999999999997
2024.0,Western Conf First Round,Dallas Mavericks,Los Angeles Clippers,DAL,LAC,DAL,31.8,22,1.4454545454545455,LAC,30.700000000000003,6,5.116666666666667,-3.671212121212122
2024.0,Western Conf First Round,Minnesota Timberwolves,Phoenix Suns,MIN,PHO,MIN,32.2,16,2.0125,PHO,19.7,4,4.925,-2.9124999999999996
2024.0,Western Conf First Round,Denver Nuggets,Los Angeles Lakers,DEN,LAL,DEN,20.9,12,1.7416666666666665,LAL,12.1,5,2.42,-0.6783333333333335
2024.0,Eastern Conf Semifinals,Indiana Pacers,New York Knicks,IND,NYK,IND,37.4,17,2.1999999999999997,NYK,45.0,13,3.4615384615384617,-1.261538461538462
2024.0,Western Conf Semifinals,Dallas Mavericks,Oklahoma City Thunder,DAL,OKC,DAL,31.8,22,1.4454545454545455,OKC,22.3,10,2.23,-0.7845454545454544
2024.0,Western Conf Semifinals,Minnesota Timberwolves,Denver Nuggets,MIN,DEN,MIN,32.2,16,2.0125,DEN,20.9,12,1.7416666666666665,0.2708333333333337
