Year,Round,Winner,Loser,Winner_Code,Loser_Code,Tm_Win,Winner_Bench_VORP,Tm_Lose,Loser_Bench_VORP,VORP_Diff
2024.0,Eastern Conf First Round,Boston Celtics,Miami Heat,BOS,MIA,BOS,0.03333333333333334,MIA,0.0,0.03333333333333334
2024.0,Eastern Conf First Round,Cleveland Cavaliers,Orlando Magic,CLE,ORL,CLE,3.96508223080413e-18,ORL,0.02,-0.019999999999999997
2024.0,Eastern Conf First Round,Indiana Pacers,Milwaukee Bucks,IND,MIL,IND,0.05555555555555555,MIL,0.011111111111111112,0.04444444444444444
2024.0,Eastern Conf First Round,New York Knicks,Philadelphia 76ers,NYK,PHI,NYK,0.044444444444444446,PHI,0.04,0.004444444444444445
2024.0,Western Conf First Round,Oklahoma City Thunder,New Orleans Pelicans,OKC,NOP,OKC,0.075,NOP,0.0,0.075
2024.0,Western Conf First Round,Dallas Mavericks,Los Angeles Clippers,DAL,LAC,DAL,0.12,LAC,0.0,0.12
2024.0,Western Conf First Round,Minnesota Timberwolves,Phoenix Suns,MIN,PHO,MIN,0.06999999999999999,PHO,0.0,0.06999999999999999
2024.0,Western Conf First Round,Denver Nuggets,Los Angeles Lakers,DEN,LAL,DEN,-0.044444444444444446,LAL,-0.05,0.005555555555555557
2024.0,Eastern Conf Semifinals,Indiana Pacers,New York Knicks,IND,NYK,IND,0.05555555555555555,NYK,0.044444444444444446,0.011111111111111106
2024.0,Western Conf Semifinals,Dallas Mavericks,Oklahoma City Thunder,DAL,OKC,DAL,0.12,OKC,0.075,0.045
2024.0,Western Conf Semifinals,Minnesota Timberwolves,Denver Nuggets,MIN,DEN,MIN,0.06999999999999999,DEN,-0.044444444444444446,0.11444444444444443
2024.0,Eastern Conf Semifinals,Boston Celtics,Cleveland Cavaliers,BOS,CLE,BOS,0.03333333333333334,CLE,3.96508223080413e-18,0.03333333333333333
2024.0,Eastern Conf Finals,Boston Celtics,Indiana Pacers,BOS,IND,BOS,0.03333333333333334,IND,0.05555555555555555,-0.022222222222222213
2024.0,Western Conf Finals,Dallas Mavericks,Minnesota Timberwolves,DAL,MIN,DAL,0.12,MIN,0.06999999999999999,0.05
2024.0,Finals,Boston Celtics,Dallas Mavericks,BOS,DAL,BOS,0.03333333333333334,DAL,0.12,-0.08666666666666666
2023.0,Eastern Conf First Round,Miami Heat,Milwaukee Bucks,MIA,MIL,MIA,0.2222222222222222,MIL,0.02,0.20222222222222222
2023.0,Eastern Conf First Round,New York Knicks,Cleveland Cavaliers,NYK,CLE,NYK,0.05714285714285715,CLE,0.0,0.05714285714285715
2023.0,Eastern Conf First Round,Philadelphia 76ers,Brooklyn Nets,PHI,BRK,PHI,0.019999999999999997,BRK,-0.03333333333333334,0.05333333333333334
2023.0,Eastern Conf First Round,Boston Celtics,Atlanta Hawks,BOS,ATL,BOS,0.1111111111111111,ATL,0.08,0.031111111111111103
2023.0,Western Conf First Round,Denver Nuggets,Minnesota Timberwolves,DEN,MIN,DEN,0.02,MIN,-0.025,0.045
2023.0,Western Conf First Round,Phoenix Suns,Los Angeles Clippers,PHO,LAC,PHO,-0.0125,LAC,0.028571428571428574,-0.04107142857142858
2023.0,Western Conf First Round,Golden State Warriors,Sacramento Kings,GSW,SAC,GSW,0.05,SAC,0.05,0.0
2023.0,Western Conf First Round,Los Angeles Lakers,Memphis Grizzlies,LAL,MEM,LAL,0.030000000000000006,MEM,0.05714285714285715,-0.027142857142857142
2023.0,Eastern Conf Semifinals,Miami Heat,New York Knicks,MIA,NYK,MIA,0.2222222222222222,NYK,0.05714285714285715,0.16507936507936505
2023.0,Eastern Conf Semifinals,Boston Celtics,Philadelphia 76ers,BOS,PHI,BOS,0.1111111111111111,PHI,0.019999999999999997,0.09111111111111111
2023.0,Western Conf Semifinals,Denver Nuggets,Phoenix Suns,DEN,PHO,DEN,0.02,PHO,-0.0125,0.0325
2023.0,Western Conf Semifinals,Los Angeles Lakers,Golden State Warriors,LAL,GSW,LAL,0.030000000000000006,GSW,0.05,-0.019999999999999997
2023.0,Western Conf Finals,Denver Nuggets,Los Angeles Lakers,DEN,LAL,DEN,0.02,LAL,0.030000000000000006,-0.010000000000000005
2023.0,Eastern Conf Finals,Miami Heat,Boston Celtics,MIA,BOS,MIA,0.2222222222222222,BOS,0.1111111111111111,0.1111111111111111
2023.0,Finals,Denver Nuggets,Miami Heat,DEN,MIA,DEN,0.02,MIA,0.2222222222222222,-0.20222222222222222
2022.0,Eastern Conf First Round,Milwaukee Bucks,Chicago Bulls,MIL,CHI,MIL,0.04,CHI,-0.05714285714285715,0.09714285714285714
2022.0,Western Conf First Round,Memphis Grizzlies,Minnesota Timberwolves,MEM,MIN,MEM,0.15714285714285717,MIN,0.05,0.10714285714285716
2022.0,Eastern Conf First Round,Boston Celtics,Brooklyn Nets,BOS,BRK,BOS,0.09,BRK,0.042857142857142864,0.04714285714285713
2022.0,Western Conf First Round,Golden State Warriors,Denver Nuggets,GSW,DEN,GSW,0.17777777777777778,DEN,0.0,0.17777777777777778
2022.0,Western Conf First Round,Dallas Mavericks,Utah Jazz,DAL,UTA,DAL,0.1111111111111111,UTA,0.07142857142857142,0.03968253968253968
2022.0,Eastern Conf First Round,Philadelphia 76ers,Toronto Raptors,PHI,TOR,PHI,0.05555555555555555,TOR,0.0,0.05555555555555555
2022.0,Western Conf First Round,Phoenix Suns,New Orleans Pelicans,PHO,NOP,PHO,0.05555555555555555,NOP,0.07142857142857142,-0.015873015873015872
2022.0,Eastern Conf First Round,Miami Heat,Atlanta Hawks,MIA,ATL,MIA,0.07777777777777778,ATL,0.05,0.027777777777777776
2022.0,Eastern Conf Semifinals,Boston Celtics,Milwaukee Bucks,BOS,MIL,BOS,0.09,MIL,0.04,0.049999999999999996
2022.0,Eastern Conf Semifinals,Miami Heat,Philadelphia 76ers,MIA,PHI,MIA,0.07777777777777778,PHI,0.05555555555555555,0.022222222222222227
2022.0,Western Conf Semifinals,Dallas Mavericks,Phoenix Suns,DAL,PHO,DAL,0.1111111111111111,PHO,0.05555555555555555,0.05555555555555555
2022.0,Western Conf Semifinals,Golden State Warriors,Memphis Grizzlies,GSW,MEM,GSW,0.17777777777777778,MEM,0.15714285714285717,0.020634920634920617
2022.0,Western Conf Finals,Golden State Warriors,Dallas Mavericks,GSW,DAL,GSW,0.17777777777777778,DAL,0.1111111111111111,0.06666666666666668
2022.0,Eastern Conf Finals,Boston Celtics,Miami Heat,BOS,MIA,BOS,0.09,MIA,0.07777777777777778,0.012222222222222218
2022.0,Finals,Golden State Warriors,Boston Celtics,GSW,BOS,GSW,0.17777777777777778,BOS,0.09,0.08777777777777779
2021.0,Eastern Conf First Round,Milwaukee Bucks,Miami Heat,MIL,MIA,MIL,0.06363636363636364,MIA,0.0125,0.051136363636363646
2021.0,Western Conf First Round,Los Angeles Clippers,Dallas Mavericks,LAC,DAL,LAC,0.07272727272727274,DAL,0.0,0.07272727272727274
2021.0,Eastern Conf First Round,Brooklyn Nets,Boston Celtics,BRK,BOS,BRK,0.030000000000000006,BOS,0.01,0.020000000000000004
2021.0,Western Conf First Round,Denver Nuggets,Portland Trail Blazers,DEN,POR,DEN,0.06999999999999999,POR,0.01,0.05999999999999999
2021.0,Eastern Conf First Round,Philadelphia 76ers,Washington Wizards,PHI,WAS,PHI,0.009090909090909092,WAS,0.0,0.009090909090909092
2021.0,Western Conf First Round,Utah Jazz,Memphis Grizzlies,UTA,MEM,UTA,-0.030000000000000006,MEM,0.0,-0.030000000000000006
2021.0,Eastern Conf First Round,Atlanta Hawks,New York Knicks,ATL,NYK,ATL,0.06,NYK,0.03333333333333333,0.026666666666666665
2021.0,Western Conf First Round,Phoenix Suns,Los Angeles Lakers,PHO,LAL,PHO,0.11818181818181818,LAL,0.019999999999999997,0.09818181818181818
2021.0,Eastern Conf Semifinals,Milwaukee Bucks,Brooklyn Nets,MIL,BRK,MIL,0.06363636363636364,BRK,0.030000000000000006,0.03363636363636364
2021.0,Eastern Conf Semifinals,Atlanta Hawks,Philadelphia 76ers,ATL,PHI,ATL,0.06,PHI,0.009090909090909092,0.050909090909090904
2021.0,Western Conf Semifinals,Phoenix Suns,Denver Nuggets,PHO,DEN,PHO,0.11818181818181818,DEN,0.06999999999999999,0.04818181818181819
2021.0,Western Conf Semifinals,Los Angeles Clippers,Utah Jazz,LAC,UTA,LAC,0.07272727272727274,UTA,-0.030000000000000006,0.10272727272727275
2021.0,Western Conf Finals,Phoenix Suns,Los Angeles Clippers,PHO,LAC,PHO,0.11818181818181818,LAC,0.07272727272727274,0.04545454545454544
2021.0,Eastern Conf Finals,Milwaukee Bucks,Atlanta Hawks,MIL,ATL,MIL,0.06363636363636364,ATL,0.06,0.003636363636363646
2021.0,Finals,Milwaukee Bucks,Phoenix Suns,MIL,PHO,MIL,0.06363636363636364,PHO,0.11818181818181818,-0.054545454545454536
2020.0,Eastern Conf First Round,Milwaukee Bucks,Orlando Magic,MIL,ORL,MIL,0.05555555555555555,ORL,0.03333333333333333,0.02222222222222222
2020.0,Eastern Conf First Round,Toronto Raptors,Brooklyn Nets,TOR,BRK,TOR,0.08888888888888889,BRK,0.014285714285714287,0.0746031746031746
2020.0,Eastern Conf First Round,Boston Celtics,Philadelphia 76ers,BOS,PHI,BOS,0.05000000000000001,PHI,-0.014285714285714287,0.0642857142857143
2020.0,Eastern Conf First Round,Miami Heat,Indiana Pacers,MIA,IND,MIA,0.12857142857142856,IND,-0.06000000000000001,0.18857142857142856
2020.0,Western Conf First Round,Los Angeles Lakers,Portland Trail Blazers,LAL,POR,LAL,0.019999999999999997,POR,0.0,0.019999999999999997
2020.0,Western Conf First Round,Los Angeles Clippers,Dallas Mavericks,LAC,DAL,LAC,0.08,DAL,0.0125,0.0675
2020.0,Western Conf First Round,Denver Nuggets,Utah Jazz,DEN,UTA,DEN,0.049999999999999996,UTA,0.0,0.049999999999999996
2020.0,Western Conf First Round,Houston Rockets,Oklahoma City Thunder,HOU,OKC,HOU,0.03333333333333334,OKC,0.011111111111111112,0.022222222222222227
2020.0,Eastern Conf Semifinals,Boston Celtics,Toronto Raptors,BOS,TOR,BOS,0.05000000000000001,TOR,0.08888888888888889,-0.03888888888888888
2020.0,Eastern Conf Semifinals,Miami Heat,Milwaukee Bucks,MIA,MIL,MIA,0.12857142857142856,MIL,0.05555555555555555,0.073015873015873
