Year,Team,Round,Series_Result,Bench_Total_PTS,G
2025.0,CLE,Eastern Conf First Round,Won,88.8,15
2025.0,IND,Eastern Conf First Round,Won,72.5,16
2025.0,NYK,Eastern Conf First Round,Won,55.1,16
2025.0,BOS,Eastern Conf First Round,Won,51.0,12
2025.0,OKC,Western Conf First Round,Won,63.9,13
2025.0,DEN,Western Conf First Round,Won,53.6,12
2025.0,MIN,Western Conf First Round,Won,59.0,15
2025.0,GSW,Western Conf First Round,Won,93.0,16
2025.0,IND,Eastern Conf Semifinals,Won,72.5,16
2025.0,NYK,Eastern Conf Semifinals,Won,55.1,16
2025.0,OKC,Western Conf Semifinals,Won,63.9,13
2025.0,MIN,Western Conf Semifinals,Won,59.0,15
2025.0,IND,Eastern Conf Finals,Won,72.5,16
2025.0,OKC,Western Conf Finals,Won,63.9,13
2025.0,OKC,Finals,Won,63.9,13
2024.0,BOS,Eastern Conf First Round,Won,55.7,13
2024.0,CLE,Eastern Conf First Round,Won,56.2,11
2024.0,IND,Eastern Conf First Round,Won,79.1,15
2024.0,NYK,Eastern Conf First Round,Won,70.1,18
2024.0,OKC,Western Conf First Round,Won,62.6,17
2024.0,DAL,Western Conf First Round,Won,70.3,14
2024.0,MIN,Western Conf First Round,Won,58.9,14
2024.0,DEN,Western Conf First Round,Won,48.4,12
2024.0,IND,Eastern Conf Semifinals,Won,79.1,15
2024.0,DAL,Western Conf Semifinals,Won,70.3,14
2024.0,MIN,Western Conf Semifinals,Won,58.9,14
2024.0,BOS,Eastern Conf Semifinals,Won,55.7,13
2024.0,BOS,Eastern Conf Finals,Won,55.7,13
2024.0,DAL,Western Conf Finals,Won,70.3,14
2024.0,BOS,Finals,Won,55.7,13
2023.0,MIA,Eastern Conf First Round,Won,68.6,12
2023.0,NYK,Eastern Conf First Round,Won,67.4,12
2023.0,PHI,Eastern Conf First Round,Won,86.0,15
2023.0,BOS,Eastern Conf First Round,Won,56.4,12
2023.0,DEN,Western Conf First Round,Won,73.2,13
2023.0,PHO,Western Conf First Round,Won,86.8,13
2023.0,GSW,Western Conf First Round,Won,57.7,11
2023.0,LAL,Western Conf First Round,Won,71.2,14
2023.0,MIA,Eastern Conf Semifinals,Won,68.6,12
2023.0,BOS,Eastern Conf Semifinals,Won,56.4,12
2023.0,DEN,Western Conf Semifinals,Won,73.2,13
2023.0,LAL,Western Conf Semifinals,Won,71.2,14
2023.0,DEN,Western Conf Finals,Won,73.2,13
2023.0,MIA,Eastern Conf Finals,Won,68.6,12
2023.0,DEN,Finals,Won,73.2,13
2022.0,MIL,Eastern Conf First Round,Won,97.2,23
2022.0,MEM,Western Conf First Round,Won,67.0,17
2022.0,BOS,Eastern Conf First Round,Won,77.9,22
2022.0,GSW,Western Conf First Round,Won,56.8,11
2022.0,DAL,Western Conf First Round,Won,93.5,21
2022.0,PHI,Eastern Conf First Round,Won,63.699999999999996,17
2022.0,PHO,Western Conf First Round,Won,93.9,18
2022.0,MIA,Eastern Conf First Round,Won,107.7,16
2022.0,BOS,Eastern Conf Semifinals,Won,77.9,22
2022.0,MIA,Eastern Conf Semifinals,Won,107.7,16
2022.0,DAL,Western Conf Semifinals,Won,93.5,21
2022.0,GSW,Western Conf Semifinals,Won,56.8,11
2022.0,GSW,Western Conf Finals,Won,56.8,11
2022.0,BOS,Eastern Conf Finals,Won,77.9,22
2022.0,GSW,Finals,Won,56.8,11
2021.0,MIL,Eastern Conf First Round,Won,94.4,17
2021.0,LAC,Western Conf First Round,Won,77.6,13
2021.0,BRK,Eastern Conf First Round,Won,100.7,18
2021.0,DEN,Western Conf First Round,Won,66.0,15
2021.0,PHI,Eastern Conf First Round,Won,77.4,18
2021.0,UTA,Western Conf First Round,Won,62.3,13
2021.0,ATL,Eastern Conf First Round,Won,56.9,11
2021.0,PHO,Western Conf First Round,Won,65.2,12
2021.0,MIL,Eastern Conf Semifinals,Won,94.4,17
2021.0,ATL,Eastern Conf Semifinals,Won,56.9,11
2021.0,PHO,Western Conf Semifinals,Won,65.2,12
2021.0,LAC,Western Conf Semifinals,Won,77.6,13
2021.0,PHO,Western Conf Finals,Won,65.2,12
2021.0,MIL,Eastern Conf Finals,Won,94.4,17
2021.0,MIL,Finals,Won,94.4,17
2020.0,MIL,Eastern Conf First Round,Won,68.8,12
2020.0,TOR,Eastern Conf First Round,Won,60.1,12
2020.0,BOS,Eastern Conf First Round,Won,45.0,11
2020.0,MIA,Eastern Conf First Round,Won,105.3,16
2020.0,LAL,Western Conf First Round,Won,86.1,15
2020.0,LAC,Western Conf First Round,Won,80.5,13
2020.0,DEN,Western Conf First Round,Won,83.5,16
2020.0,HOU,Western Conf First Round,Won,78.3,15
2020.0,BOS,Eastern Conf Semifinals,Won,45.0,11
2020.0,MIA,Eastern Conf Semifinals,Won,105.3,16
2020.0,DEN,Western Conf Semifinals,Won,83.5,16
2020.0,LAL,Western Conf Semifinals,Won,86.1,15
2020.0,MIA,Eastern Conf Finals,Won,105.3,16
2020.0,LAL,Western Conf Finals,Won,86.1,15
2020.0,LAL,Finals,Won,86.1,15
2019.0,MIL,Eastern Conf First Round,Won,90.4,19
2019.0,TOR,Eastern Conf First Round,Won,87.2,16
2019.0,PHI,Eastern Conf First Round,Won,102.9,17
2019.0,BOS,Eastern Conf First Round,Won,80.0,12
2019.0,GSW,Western Conf First Round,Won,51.1,11
2019.0,DEN,Western Conf First Round,Won,66.2,13
2019.0,POR,Western Conf First Round,Won,77.3,13
2019.0,HOU,Western Conf First Round,Won,72.7,16
2019.0,MIL,Eastern Conf Semifinals,Won,90.4,19
2019.0,TOR,Eastern Conf Semifinals,Won,87.2,16
2019.0,GSW,Western Conf Semifinals,Won,51.1,11
2019.0,POR,Western Conf Semifinals,Won,77.3,13
2019.0,TOR,Eastern Conf Finals,Won,87.2,16
2019.0,GSW,Western Conf Finals,Won,51.1,11
2019.0,TOR,Finals,Won,87.2,16
2018.0,TOR,Eastern Conf First Round,Won,60.1,13
2018.0,BOS,Eastern Conf First Round,Won,75.6,14
2018.0,PHI,Eastern Conf First Round,Won,90.4,18
2018.0,CLE,Eastern Conf First Round,Won,90.9,14
2018.0,HOU,Western Conf First Round,Won,89.8,19
2018.0,GSW,Western Conf First Round,Won,50.4,11
2018.0,NOP,Western Conf First Round,Won,70.4,17
2018.0,UTA,Western Conf First Round,Won,86.4,16
2018.0,GSW,Western Conf Semifinals,Won,50.4,11
2018.0,HOU,Western Conf Semifinals,Won,89.8,19
2018.0,BOS,Eastern Conf Semifinals,Won,75.6,14
2018.0,CLE,Eastern Conf Semifinals,Won,90.9,14
2018.0,CLE,Eastern Conf Finals,Won,90.9,14
2018.0,GSW,Western Conf Finals,Won,50.4,11
2018.0,GSW,Finals,Won,50.4,11
2017.0,BOS,Eastern Conf First Round,Won,50.4,10
2017.0,CLE,Eastern Conf First Round,Won,83.0,16
2017.0,TOR,Eastern Conf First Round,Won,61.7,11
2017.0,WAS,Eastern Conf First Round,Won,55.4,13
2017.0,GSW,Western Conf First Round,Won,50.1,12
2017.0,SAS,Western Conf First Round,Won,54.1,11
2017.0,HOU,Western Conf First Round,Won,71.7,12
2017.0,UTA,Western Conf First Round,Won,55.0,10
2017.0,CLE,Eastern Conf Semifinals,Won,83.0,16
2017.0,BOS,Eastern Conf Semifinals,Won,50.4,10
2017.0,GSW,Western Conf Semifinals,Won,50.1,12
2017.0,SAS,Western Conf Semifinals,Won,54.1,11
