Team,Year,Bench_Total_PTS,Bench_Total_AST,Bench_Avg_PER,Bench_Avg_BPM,Bench_Depth
2TM,2010,664.8,139.5,9.883720930232558,-4.1829457364341085,129
2TM,2011,852.3,168.9,10.605555555555554,-3.4111111111111114,162
2TM,2012,383.1,101.1,11.425641025641026,-2.8666666666666667,78
2TM,2013,533.1,146.1,9.714529914529914,-3.9615384615384617,117
2TM,2014,752.4,183.9,9.570588235294117,-3.3333333333333335,153
2TM,2015,898.2,236.4,10.541666666666666,-3.2814102564102563,156
2TM,2016,518.7,151.5,11.812037037037037,-2.2935185185185185,108
2TM,2017,704.4,140.70000000000002,11.458119658119656,-2.348717948717949,117
2TM,2018,808.5,172.2,11.455555555555556,-2.794074074074074,135
2TM,2019,1044.0,231.0,11.180357142857142,-3.1589285714285715,168
2TM,2020,804.6,168.9,10.78768115942029,-2.9927536231884058,138
2TM,2021,921.6,226.79999999999998,11.460130718954249,-2.689542483660131,153
2TM,2022,1154.7,277.8,10.774761904761904,-3.5276190476190474,210
2TM,2023,1017.6,209.1,12.04074074074074,-2.2351851851851854,162
2TM,2024,817.8,207.6,10.494117647058824,-3.134640522875817,153
2TM,2025,1099.2,301.5,12.274731182795698,-2.3123655913978496,186
3TM,2010,52.8,14.4,9.225,-4.5875,16
3TM,2011,87.2,20.0,9.309999999999999,-2.9850000000000003,20
3TM,2012,22.0,12.8,9.35,-4.75,4
3TM,2013,60.0,21.6,6.71875,-6.3375,16
3TM,2014,46.4,10.0,10.358333333333333,-4.458333333333333,12
3TM,2015,191.6,45.6,12.771428571428572,-0.8928571428571429,28
3TM,2016,54.8,6.8,13.7375,-0.3874999999999999,8
3TM,2017,48.0,17.2,9.4625,-4.075,8
3TM,2018,87.6,18.4,13.55625,-0.69375,16
3TM,2019,82.4,18.8,13.825,-2.55,16
3TM,2020,60.4,13.2,9.4125,-3.2125000000000004,8
3TM,2021,71.2,14.0,9.190000000000001,-4.335,20
3TM,2022,182.8,44.8,9.077272727272726,-5.920454545454546,44
3TM,2024,116.0,34.0,10.260714285714286,-3.6785714285714284,28
3TM,2025,46.4,10.0,14.016666666666666,-2.5833333333333335,12
4TM,2018,31.5,4.5,11.2,-3.2399999999999998,5
4TM,2022,27.0,8.0,21.3,0.08000000000000007,5
ATL,2010,39.5,6.6,11.022222222222222,-4.322222222222222,9
ATL,2011,66.2,13.4,10.74375,-3.16875,16
ATL,2012,39.2,11.6,10.433333333333334,-2.8000000000000003,12
ATL,2013,110.6,30.900000000000002,9.583333333333334,-4.454166666666667,24
ATL,2014,76.2,17.3,9.63529411764706,-4.870588235294117,17
ATL,2015,67.6,15.9,11.073333333333332,-3.033333333333333,15
ATL,2016,89.6,22.900000000000002,11.547619047619047,-2.138095238095238,21
ATL,2017,122.2,27.9,10.456521739130435,-2.508695652173913,23
ATL,2018,124.4,25.3,9.20952380952381,-3.923809523809524,21
ATL,2019,114.7,25.4,12.345833333333333,-3.1750000000000003,24
ATL,2020,112.2,34.3,9.887500000000001,-3.829166666666666,24
ATL,2021,84.7,28.9,11.34,-2.4733333333333336,15
ATL,2022,145.1,26.900000000000002,11.023076923076925,-3.3423076923076924,26
ATL,2023,134.5,20.9,12.472000000000001,-2.204,25
ATL,2024,83.3,15.7,10.517647058823528,-2.605882352941176,17
ATL,2025,311.7,51.300000000000004,12.727586206896552,-1.1862068965517243,29
BOS,2010,106.4,23.0,9.885714285714286,-3.5321428571428575,28
BOS,2011,129.7,25.2,9.041935483870969,-3.270967741935484,31
BOS,2012,58.3,10.3,10.966666666666667,-2.5533333333333332,15
BOS,2013,88.8,18.2,6.7318181818181815,-6.054545454545454,22
BOS,2014,108.9,25.0,11.677272727272726,-2.459090909090909,22
BOS,2015,243.0,66.6,14.548648648648648,0.2513513513513513,37
BOS,2016,70.2,17.3,13.961538461538462,0.15384615384615385,13
BOS,2017,50.4,12.6,13.330000000000002,-1.0099999999999998,10
BOS,2018,106.2,24.5,9.942105263157895,-2.9473684210526314,19
BOS,2019,89.0,18.2,19.06,1.2133333333333332,15
BOS,2020,45.0,9.4,13.154545454545454,-1.218181818181818,11
BOS,2021,113.60000000000001,26.2,11.995999999999999,-1.744,25
BOS,2022,166.6,31.2,11.216666666666667,-3.0833333333333335,48
BOS,2023,73.2,17.8,11.925,-2.4125,16
BOS,2024,78.1,18.2,13.890476190476189,-0.8238095238095239,21
BOS,2025,59.800000000000004,13.0,11.5375,-1.51875,16
BRK,2013,47.2,8.0,8.085714285714285,-4.078571428571428,14
BRK,2014,111.5,21.7,9.538095238095238,-3.8476190476190473,21
BRK,2015,65.3,14.6,10.43125,-3.56875,16
BRK,2016,95.0,13.700000000000001,12.975,-3.025,12
BRK,2017,158.3,30.2,11.1,-3.1148148148148147,27
BRK,2018,175.2,35.2,10.5,-2.916129032258065,31
BRK,2019,107.4,19.9,15.723529411764707,-0.3411764705882352,17
BRK,2020,103.1,26.400000000000002,11.857894736842105,-2.021052631578948,19
BRK,2021,205.1,49.7,11.688235294117646,-2.894117647058824,34
BRK,2022,140.1,38.6,11.05,-3.446875,32
BRK,2023,126.2,31.0,9.964285714285714,-4.035714285714286,28
BRK,2024,89.9,27.0,11.571428571428571,-2.357142857142857,21
BRK,2025,130.4,30.6,10.681818181818182,-3.604545454545455,22
CHA,2010,125.6,21.5,11.990909090909092,-1.8318181818181818,22
CHA,2011,120.3,20.7,9.541666666666666,-3.6791666666666667,24
CHA,2012,57.2,12.5,9.66,-4.7,10
CHA,2013,84.3,19.4,10.142857142857142,-4.45,14
CHA,2014,123.8,30.3,10.011538461538462,-4.1230769230769235,26
CHI,2010,138.9,23.8,11.812000000000001,-2.948,25
CHI,2011,49.1,10.7,10.253846153846155,-1.9076923076923078,13
CHI,2012,34.9,8.5,14.271428571428572,0.7285714285714286,7
CHI,2013,57.9,12.5,9.74705882352941,-3.6176470588235294,17
CHI,2014,93.0,26.1,7.589655172413793,-4.5344827586206895,29
CHI,2015,51.3,9.600000000000001,10.288888888888888,-2.788888888888889,9
CHI,2016,71.5,20.9,10.23076923076923,-2.8076923076923075,13
CHI,2017,122.5,21.7,9.819047619047618,-2.9666666666666663,21
CHI,2018,224.0,35.8,8.782758620689656,-4.944827586206896,29
CHI,2019,214.7,37.6,11.607999999999999,-3.54,25
CHI,2020,67.9,11.9,14.363636363636363,-1.190909090909091,11
CHI,2021,125.8,30.4,11.848275862068967,-1.8206896551724137,29
CHI,2022,94.6,17.0,12.08,-4.628,25
CHI,2023,65.7,14.200000000000001,13.366666666666667,-1.9133333333333333,15
CHI,2024,48.4,9.7,10.509090909090908,-4.627272727272728,11
CHI,2025,100.2,20.1,14.172222222222222,-1.1555555555555557,18
CHO,2015,105.1,18.2,11.05,-2.5625,16
CHO,2016,71.1,14.9,13.758333333333333,-1.3333333333333333,12
CHO,2017,117.2,24.9,11.700000000000001,-3.0,24
CHO,2018,78.3,13.6,13.771428571428572,-1.95,14
CHO,2019,72.4,16.4,10.399999999999999,-4.769230769230769,13
CHO,2020,75.1,17.1,8.728571428571428,-3.792857142857143,14
CHO,2021,78.0,21.1,11.992307692307692,-2.769230769230769,13
CHO,2022,137.20000000000002,28.8,13.06086956521739,-3.508695652173913,23
CHO,2023,124.7,30.5,11.717647058823529,-2.317647058823529,17
CHO,2024,211.3,46.4,9.34,-4.703333333333333,30
CHO,2025,250.3,75.6,11.142105263157895,-3.6921052631578952,38
CLE,2010,78.7,19.1,5.533333333333333,-7.266666666666667,21
CLE,2011,117.6,20.3,10.925,-3.475,20
CLE,2012,174.4,56.9,10.05,-4.03,30
CLE,2013,157.9,41.8,10.62,-3.032,25
CLE,2014,89.5,16.9,8.930434782608696,-4.086956521739131,23
CLE,2015,103.2,26.1,9.192,-3.912,25
CLE,2016,103.4,22.2,10.885714285714286,-2.238095238095238,21
CLE,2017,157.79999999999998,30.6,10.293333333333333,-3.3333333333333335,30
CLE,2018,185.5,33.0,13.487499999999999,-1.7750000000000001,24
CLE,2019,184.6,48.1,9.036363636363635,-4.49090909090909,33
CLE,2020,131.8,30.7,12.084000000000001,-2.58,25
CLE,2021,196.4,49.8,11.964516129032257,-3.0161290322580645,31
CLE,2022,136.6,44.0,10.890322580645162,-4.032258064516129,31
CLE,2023,99.2,21.5,11.764705882352942,-0.9352941176470588,17
CLE,2024,67.8,17.0,9.653846153846153,-3.9846153846153842,13
