Player,Tm,Year,G,MP,PER,BPM,VORP
Arron Afflalo,DEN,2010,6,120,15.8,2.3,0.1
LaMarcus Aldridge,POR,2010,6,229,17.5,1.3,0.2
Malik Allen,DEN,2010,4,11,6.6,-1.9,0.0
Ray Allen*,BOS,2010,24,925,13.1,1.9,0.9
Tony Allen,BOS,2010,24,391,11.2,0.8,0.3
Lou Amundson,PHO,2010,16,194,13.1,-2.3,0.0
Chris Andersen,DEN,2010,6,116,10.2,-1.7,0.0
Ryan Anderson,ORL,2010,9,89,8.5,-4.6,-0.1
Carmelo Anthony*,DEN,2010,6,254,23.3,3.1,0.3
Joel Anthony,MIA,2010,5,79,11.6,2.2,0.1
Carlos Arroyo,MIA,2010,5,115,8.7,-2.5,0.0
D.J. Augustin,CHA,2010,4,73,5.6,-3.7,0.0
Jeff Ayres,POR,2010,3,17,27.7,9.7,0.0
Leandro Barbosa,PHO,2010,16,250,10.5,-3.9,-0.1
J.J. Barea,DAL,2010,6,105,8.0,-2.8,0.0
Matt Barnes,ORL,2010,14,326,12.6,2.2,0.3
Brandon Bass,ORL,2010,7,42,17.8,1.2,0.0
Nicolas Batum,POR,2010,6,139,11.8,-0.4,0.1
Jerryd Bayless,POR,2010,6,166,15.4,-0.3,0.1
Michael Beasley,MIA,2010,5,135,9.8,-4.1,-0.1
Rodrigue Beaubois,DAL,2010,4,31,17.4,2.8,0.0
Charlie Bell,MIL,2010,3,8,-15.4,-23.8,0.0
Mike Bibby,ATL,2010,11,292,12.1,-0.4,0.1
Chauncey Billups*,DEN,2010,6,207,19.6,3.0,0.3
DeJuan Blair,SAS,2010,10,91,24.0,4.2,0.1
Keith Bogans,SAS,2010,8,55,-0.6,-5.7,-0.1
Matt Bonner,SAS,2010,10,173,8.6,-2.0,0.0
Carlos Boozer,UTA,2010,10,402,17.6,-0.2,0.2
PrimoÅ¾ Brezec,MIL,2010,4,25,12.7,-2.1,0.0
Derrick Brown,CHA,2010,2,1,90.6,59.1,0.0
Devin Brown,CHI,2010,1,2,41.0,13.8,0.0
Shannon Brown,LAL,2010,23,324,9.7,-2.7,-0.1
Kobe Bryant*,LAL,2010,23,923,24.7,7.0,2.1
Caron Butler,DAL,2010,6,202,17.8,2.2,0.2
Andrew Bynum,LAL,2010,23,561,17.3,0.1,0.3
Marcus Camby,POR,2010,6,178,13.8,1.3,0.2
Matt Carroll,DAL,2010,1,5,21.2,6.5,0.0
Anthony Carter,DEN,2010,1,7,8.7,2.3,0.0
Vince Carter*,ORL,2010,14,480,13.4,-0.9,0.1
Mario Chalmers,MIA,2010,5,131,10.3,-1.7,0.0
Tyson Chandler,CHA,2010,4,60,7.2,-4.0,0.0
Earl Clark,PHO,2010,3,13,7.1,-3.8,0.0
Jarron Collins,PHO,2010,11,115,1.3,-6.2,-0.1
Jason Collins,ATL,2010,3,10,17.1,-9.9,0.0
Nick Collison,OKC,2010,6,129,5.1,-6.1,-0.1
Jamal Crawford,ATL,2010,11,351,14.0,0.1,0.2
Dante Cunningham,POR,2010,5,42,24.8,2.6,0.0
Erick Dampier,DAL,2010,5,118,3.7,-7.1,-0.2
Marquis Daniels,BOS,2010,11,37,14.2,-1.9,0.0
Glen Davis,BOS,2010,24,483,14.5,0.5,0.3
Carlos Delfino,MIL,2010,7,226,8.8,-0.6,0.1
Luol Deng,CHI,2010,5,203,15.8,1.3,0.2
Boris Diaw,CHA,2010,4,152,7.4,-2.2,0.0
Travis Diener,POR,2010,2,7,10.3,0.7,0.0
Goran DragiÄ,PHO,2010,16,237,17.2,0.9,0.2
Jared Dudley,PHO,2010,16,377,15.6,5.2,0.7
Tim Duncan*,SAS,2010,10,373,19.7,2.8,0.5
Kevin Durant,OKC,2010,6,231,16.6,2.1,0.2
Maurice Evans,ATL,2010,11,148,2.4,-6.8,-0.2
Jordan Farmar,LAL,2010,23,301,11.2,-0.2,0.1
Raymond Felton,CHA,2010,4,130,12.7,0.3,0.1
Rudy FernÃ¡ndez,POR,2010,6,119,12.0,0.7,0.1
Kyrylo Fesenko,UTA,2010,10,181,3.0,-6.2,-0.2
