Year,Round,Winner,Loser
2025.0,Eastern Conf First Round,Cleveland Cavaliers (1),Miami Heat (8)
2025.0,Eastern Conf First Round,Indiana Pacers (4),Milwaukee Bucks (5)
2025.0,Eastern Conf First Round,New York Knicks (3),Detroit Pistons (6)
2025.0,Eastern Conf First Round,Boston Celtics (2),Orlando Magic (7)
2025.0,Western Conf First Round,Oklahoma City Thunder (1),Memphis Grizzlies (8)
2025.0,Western Conf First Round,Denver Nuggets (4),Los Angeles Clippers (5)
2025.0,Western Conf First Round,Minnesota Timberwolves (6),Los Angeles Lakers (3)
2025.0,Western Conf First Round,Golden State Warriors (7),Houston Rockets (2)
2025.0,Eastern Conf Semifinals,Indiana Pacers (4),Cleveland Cavaliers (1)
2025.0,Eastern Conf Semifinals,New York Knicks (3),Boston Celtics (2)
2025.0,Western Conf Semifinals,Oklahoma City Thunder (1),Denver Nuggets (4)
2025.0,Western Conf Semifinals,Minnesota Timberwolves (6),Golden State Warriors (7)
2025.0,Eastern Conf Finals,Indiana Pacers (4),New York Knicks (3)
2025.0,Western Conf Finals,Oklahoma City Thunder (1),Minnesota Timberwolves (6)
2025.0,Finals,Oklahoma City Thunder (1),Indiana Pacers (4)
2024.0,Eastern Conf First Round,Boston Celtics (1),Miami Heat (8)
2024.0,Eastern Conf First Round,Cleveland Cavaliers (4),Orlando Magic (5)
2024.0,Eastern Conf First Round,Indiana Pacers (6),Milwaukee Bucks (3)
2024.0,Eastern Conf First Round,New York Knicks (2),Philadelphia 76ers (7)
2024.0,Western Conf First Round,Oklahoma City Thunder (1),New Orleans Pelicans (8)
2024.0,Western Conf First Round,Dallas Mavericks (5),Los Angeles Clippers (4)
2024.0,Western Conf First Round,Minnesota Timberwolves (3),Phoenix Suns (6)
2024.0,Western Conf First Round,Denver Nuggets (2),Los Angeles Lakers (7)
2024.0,Eastern Conf Semifinals,Indiana Pacers (6),New York Knicks (2)
2024.0,Western Conf Semifinals,Dallas Mavericks (5),Oklahoma City Thunder (1)
2024.0,Western Conf Semifinals,Minnesota Timberwolves (3),Denver Nuggets (2)
2024.0,Eastern Conf Semifinals,Boston Celtics (1),Cleveland Cavaliers (4)
2024.0,Eastern Conf Finals,Boston Celtics (1),Indiana Pacers (6)
2024.0,Western Conf Finals,Dallas Mavericks (5),Minnesota Timberwolves (3)
2024.0,Finals,Boston Celtics (1),Dallas Mavericks (5)
2023.0,Eastern Conf First Round,Miami Heat (8),Milwaukee Bucks (1)
2023.0,Eastern Conf First Round,New York Knicks (5),Cleveland Cavaliers (4)
2023.0,Eastern Conf First Round,Philadelphia 76ers (3),Brooklyn Nets (6)
2023.0,Eastern Conf First Round,Boston Celtics (2),Atlanta Hawks (7)
2023.0,Western Conf First Round,Denver Nuggets (1),Minnesota Timberwolves (8)
2023.0,Western Conf First Round,Phoenix Suns (4),Los Angeles Clippers (5)
2023.0,Western Conf First Round,Golden State Warriors (6),Sacramento Kings (3)
2023.0,Western Conf First Round,Los Angeles Lakers (7),Memphis Grizzlies (2)
2023.0,Eastern Conf Semifinals,Miami Heat (8),New York Knicks (5)
2023.0,Eastern Conf Semifinals,Boston Celtics (2),Philadelphia 76ers (3)
2023.0,Western Conf Semifinals,Denver Nuggets (1),Phoenix Suns (4)
2023.0,Western Conf Semifinals,Los Angeles Lakers (7),Golden State Warriors (6)
2023.0,Western Conf Finals,Denver Nuggets (1),Los Angeles Lakers (7)
2023.0,Eastern Conf Finals,Miami Heat (8),Boston Celtics (2)
2023.0,Finals,Denver Nuggets (1),Miami Heat (8)
2022.0,Eastern Conf First Round,Milwaukee Bucks (3),Chicago Bulls (6)
2022.0,Western Conf First Round,Memphis Grizzlies (2),Minnesota Timberwolves (7)
2022.0,Eastern Conf First Round,Boston Celtics (2),Brooklyn Nets (7)
2022.0,Western Conf First Round,Golden State Warriors (3),Denver Nuggets (6)
